Unnamed: 0,始値,終値,高値,安値
2015-12-30,1083,1130,1135,1083
2015-12-29,1057,1096,1096,1055
2015-12-28,1070,1070,1082,1032
2015-12-25,1051,1010,1051,999
2015-12-24,1170,1072,1173,1067
2015-12-22,1200,1172,1203,1170
2015-12-21,1210,1203,1211,1198
2015-12-18,1332,1245,1340,1245
2015-12-17,1250,1242,1280,1240
2015-12-16,1300,1280,1300,1280
2015-12-15,1321,1305,1325,1300
2015-12-14,1335,1320,1336,1280
2015-12-11,1353,1365,1376,1345
2015-12-10,1353,1364,1364,1346
2015-12-09,1370,1367,1387,1367
2015-12-08,1400,1383,1400,1381
2015-12-07,1445,1400,1445,1400
2015-12-04,1401,1385,1405,1382
2015-12-03,1408,1401,1430,1400
2015-12-02,1400,1400,1410,1389
2015-12-01,1399,1400,1401,1385
2015-11-30,1411,1393,1411,1383
2015-11-27,1443,1421,1451,1415
2015-11-26,1433,1467,1470,1432
2015-11-25,1436,1449,1454,1431
2015-11-24,1435,1455,1480,1435
2015-11-20,1375,1408,1424,1370
2015-11-19,1331,1360,1360,1331
2015-11-18,1335,1334,1344,1333
2015-11-17,1352,1330,1352,1326
2015-11-16,1339,1328,1359,1322
2015-11-13,1452,1410,1452,1393
2015-11-12,1454,1452,1469,1450
2015-11-11,1475,1470,1491,1450
2015-11-10,1485,1475,1492,1460
2015-11-09,1500,1501,1517,1480
2015-11-06,1470,1493,1500,1470
2015-11-05,1509,1481,1539,1470
2015-11-04,1490,1480,1546,1452
2015-11-02,1444,1460,1491,1401
2015-10-30,1590,1590,1590,1590
2015-10-29,2045,1990,2080,1986
2015-10-28,1881,1988,1996,1881
2015-10-27,1851,1909,1945,1851
2015-10-26,1915,1887,1933,1883
2015-10-23,1913,1870,1913,1855
2015-10-22,1809,1881,1920,1809
2015-10-21,1780,1809,1809,1760
2015-10-20,1819,1789,1820,1770
2015-10-19,1899,1827,1899,1818
2015-10-16,1959,1900,1959,1790
2015-10-15,2010,1940,2010,1926
2015-10-14,1966,2011,2069,1926
2015-10-13,1929,1926,1951,1880
2015-10-09,1911,1896,1942,1860
2015-10-08,1885,1807,1945,1807
2015-10-07,1633,1765,1829,1633
2015-10-06,1617,1633,1649,1617
2015-10-05,1585,1613,1615,1580
2015-10-02,1580,1557,1584,1539
2015-10-01,1550,1584,1588,1550
2015-09-30,1526,1527,1569,1526
2015-09-29,1638,1507,1638,1505
2015-09-28,1587,1639,1639,1585
2015-09-25,1570,1587,1607,1567
2015-09-24,1641,1592,1647,1583
2015-09-18,1668,1657,1669,1629
2015-09-17,1684,1642,1684,1636
2015-09-16,1650,1625,1690,1620
2015-09-15,1651,1600,1688,1600
2015-09-14,1751,1682,1797,1680
2015-09-11,1676,1745,1779,1676
2015-09-10,1660,1680,1696,1633
2015-09-09,1674,1670,1690,1633
2015-09-08,1646,1575,1801,1555
2015-09-07,1530,1628,1628,1507
2015-09-04,1641,1570,1643,1520
2015-09-03,1765,1663,1782,1660
2015-09-02,1650,1751,1790,1650
2015-09-01,1868,1750,1868,1750
2015-08-31,1950,1874,1951,1868
2015-08-28,1918,1917,2043,1915
2015-08-27,1750,1975,2100,1690
2015-08-26,1710,1750,1750,1566
2015-08-25,1500,1450,1650,1405
2015-08-24,1949,1600,1999,1589
2015-08-21,2131,2089,2200,2089
2015-08-20,2254,2231,2265,2231
2015-08-19,2301,2266,2309,2261
2015-08-18,2270,2320,2328,2270
2015-08-17,2283,2305,2344,2269
2015-08-14,2370,2300,2370,2280
2015-08-13,2418,2360,2435,2355
2015-08-12,2501,2468,2501,2418
2015-08-11,2533,2501,2533,2500
2015-08-10,2556,2505,2564,2502
2015-08-07,2500,2506,2600,2500
2015-08-06,2348,2500,2840,2347
2015-08-05,2323,2347,2360,2323
2015-08-04,2450,2373,2460,2370
2015-08-03,2510,2442,2511,2442
2015-07-31,2555,2523,2560,2521
2015-07-30,2608,2570,2611,2550
2015-07-29,2680,2632,2685,2632
2015-07-28,2681,2680,2681,2640
2015-07-27,2727,2691,2731,2681
2015-07-24,2700,2700,2734,2695
2015-07-23,2815,2712,2815,2704
2015-07-22,2752,2765,2782,2730
2015-07-21,2764,2752,2824,2738
2015-07-17,2720,2760,2761,2711
2015-07-16,2621,2750,2769,2615
2015-07-15,2849,2821,2860,2811
2015-07-14,2789,2805,2870,2789
2015-07-13,2825,2761,2825,2757
2015-07-10,2852,2823,2938,2821
2015-07-09,2821,2851,2869,2710
2015-07-08,2970,2912,3025,2910
2015-07-07,2960,2968,2989,2931
2015-07-06,2931,2933,2974,2925
2015-07-03,3015,2990,3030,2974
2015-07-02,3085,3050,3090,3045
2015-07-01,3005,3070,3070,3005
2015-06-30,2951,2994,2996,2950
2015-06-29,3035,2950,3035,2949
2015-06-26,3245,3150,3250,3080
2015-06-25,3345,3245,3350,3210
2015-06-24,3250,3415,3445,3250
2015-06-23,3240,3190,3285,3180
2015-06-22,3160,3200,3210,3130
2015-06-19,3150,3170,3215,3120
2015-06-18,3170,3150,3200,3120
2015-06-17,3115,3170,3170,3100
2015-06-16,3130,3100,3145,3090
2015-06-15,3190,3150,3210,3145
2015-06-12,3190,3190,3230,3165
2015-06-11,3250,3210,3305,3190
2015-06-10,3165,3265,3275,3130
2015-06-09,3490,3165,3490,3160
2015-06-08,3295,3500,3700,3270
2015-06-05,3235,3225,3235,3170
2015-06-04,3210,3235,3260,3200
2015-06-03,3280,3235,3280,3215
2015-06-02,3105,3280,3280,3105
2015-06-01,3100,3105,3135,3070
2015-05-29,3180,3125,3180,3125
2015-05-28,3210,3180,3210,3160
2015-05-27,3210,3220,3220,3180
2015-05-26,3260,3210,3270,3205
2015-05-25,3320,3260,3325,3255
2015-05-22,3260,3280,3300,3255
2015-05-21,3305,3280,3305,3265
2015-05-20,3295,3280,3320,3275
2015-05-19,3290,3290,3540,3240
2015-05-18,3290,3315,3330,3270
2015-05-15,3325,3270,3350,3260
2015-05-14,3350,3350,3450,3320
2015-05-13,3290,3280,3350,3280
2015-05-12,3325,3280,3340,3255
2015-05-11,3380,3335,3405,3335
2015-05-08,3400,3340,3465,3305
2015-05-07,3390,3385,3455,3365
2015-05-01,3695,3460,3695,3385
2015-04-30,3865,3820,4000,3750
2015-04-28,4365,4145,4380,4085
2015-04-27,4010,4435,4535,3990
2015-04-24,3950,3835,4130,3820
2015-04-23,3680,3880,4020,3635
2015-04-22,3515,3550,3610,3500
2015-04-21,3560,3520,3565,3510
2015-04-20,3560,3515,3600,3500
2015-04-17,3535,3575,3620,3520
2015-04-16,3525,3510,3550,3480
2015-04-15,3630,3515,3665,3470
2015-04-14,3630,3610,3690,3580
2015-04-13,3570,3715,3715,3540
2015-04-10,3505,3495,3530,3480
2015-04-09,3570,3515,3575,3510
2015-04-08,3600,3510,3620,3470
2015-04-07,3380,3505,3550,3345
2015-04-06,3565,3450,3580,3435
2015-04-03,3710,3635,3745,3630
2015-04-02,3785,3720,3785,3705
2015-04-01,3725,3805,3820,3720
2015-03-31,3870,3755,3890,3720
2015-03-30,3790,3860,3885,3775
2015-03-27,3735,3795,3855,3675
2015-03-26,4000,3755,4280,3730
2015-03-25,3840,3790,3900,3720
2015-03-24,3750,3810,3830,3650
2015-03-23,3955,3790,4015,3775
2015-03-20,4070,3920,4100,3920
2015-03-19,3800,4140,4140,3735
2015-03-18,3670,3795,3880,3620
2015-03-17,3690,3610,3820,3600
2015-03-16,3885,3695,3885,3675
2015-03-13,4135,3900,4180,3870
2015-03-12,4225,4070,4370,4060
2015-03-11,4070,4270,4525,4030
2015-03-10,4160,4030,4190,3970
2015-03-09,4450,4190,4545,4160
2015-03-06,4790,4520,4865,4520
2015-03-05,5250,4920,5390,4855
2015-03-04,4925,5100,5440,4635
2015-03-03,5170,4925,5480,4785
2015-03-02,5910,5240,5940,5230
2015-02-27,6290,5910,6300,5850
2015-02-26,5970,6250,6480,5840
2015-02-25,5980,5880,6300,5730
2015-02-24,6510,5960,6990,5940
2015-02-23,8030,6600,8160,6130
2015-02-20,6530,7430,7430,6430
2015-02-19,6040,6430,6430,5440
